"c_object_ID","NRI","JSG","NZA","ROZ","TZG","NWN","KRG","OPT"
"145","P.1607.1997.134","","","","","","614",""
"146","P.1607.1997.135","","","","","","615",""
"147","P.1607.1997.136","","","","","","616",""
"148","P.1607.1997.137","","","","","","617",""
"149","P.1607.1997.138","","","","","","618",""
"150","P.1607.1997.139","","","","","","619",""
"151","P.1607.1997.140","","","","","","620",""
"152","P.1607.1997.141","","","","","","621",""
"153","P.1607.1997.142","","","","","","622",""
"154","P.1607.1997.143","","","","","","623",""
"155","P.1607.1997.144","","","","","","624",""
"156","P.1607.1998.99","","","","","","625",""
"157","P.1607.1998.100","","","","","","626",""
"158","P.1607.1998.101","","","","","","627",""
"159","P.1607.1998.102","","","","","","628",""
"160","P.1607.1998.103","","","","","","629",""
"161","P.1607.1998.104","","","","","","630",""
"162","P.1607.1998.133","","","","","","631",""
"163","P.1607.1998.134","","","","","","632",""
"164","P.1607.1998.135","","","","","","633",""
"165","P.1607.1998.136","","","","","","634",""
"166","P.1607.1998.137","","","","","","635",""
"167","P.1607.1998.138","","","","","","636",""
"168","P.1607.1998.139","","","","","","637",""
"169","P.1607.1998.140","","","","","","638",""
"170","P.1607.1998.141","","","","","","639",""
"171","P.1607.1998.142","","","","","","640",""
"172","P.1607.1998.143","","","","","","641",""
"173","P.1607.1998.144","","","","","","642",""
"174","P.1607.1999.99","","","","","","643",""
"175","P.1607.1999.100","","","","","","644",""
"176","P.1607.1999.101","","","","","","645",""
"177","P.1607.1999.102","","","","","","646",""
"178","P.1607.1999.103","","","","","","647",""
"179","P.1607.1999.104","","","","","","648",""
"180","P.1607.1999.105","","","","","","649",""
"181","P.1607.1999.106","","","","","","650",""
"182","P.1607.1999.107","","","","","","651",""
"183","P.1607.1999.108","","","","","","652",""
"184","P.1607.1999.109","","","","","","653",""
"185","P.1607.1999.147","","","","","","654",""
"186","P.1607.1999.148","","","","","","655",""
"187","P.1607.1999.149","","","","","","656",""
"188","P.1607.1999.150","","","","","","657",""
"189","P.1607.1999.151","","","","","","658",""
"190","P.1607.1999.152","","","","","","659",""
"191","P.1607.1999.153","","","","","","660",""
"192","P.1607.1999.154","","","","","","661",""
"193","P.1607.1999.155","","","","","","662",""
"194","P.1607.1999.156","","","","","","663",""
"195","P.1607.1999.157","","","","","","664",""
"196","P.1607.1999.158","","","","","","665",""
"197","P.1607.2000.244","","","","","","666",""
"198","P.1607.2000.245","","","","","","667",""
"199","P.1607.2000.246","","","","","","668",""
"200","P.1607.2000.247","","","","","","669",""
"201","P.1607.2000.276","","","","","","670",""
"202","P.1607.2000.277","","","","","","671",""
"203","P.1607.2000.278","","","","","","672",""
"204","P.1607.2000.279","","","","","","673",""
"205","P.1607.2000.280","","","","","","674",""
"206","P.1607.2000.281","","","","","","675",""
"207","P.1607.2000.282","","","","","","676",""
"208","P.1607.2000.283","","","","","","677",""
"209","P.1607.2000.284","","","","","","678",""
"210","P.1607.2000.285","","","","","","679",""
"211","P.1607.2000.286","","","","","","680",""
"212","P.1607.2000.287","","","","","","681",""
"213","P.1607.2000.288","","","","","","682",""
"214","P.1607.2000.289","","","","","","683",""
"215","P.1607.2001.213","","","","","","684",""
"216","P.1607.2001.214","","","","","","685",""
"217","P.1607.2001.215","","","","","","686",""
"218","P.1607.2001.216","","","","","","687",""
"219","P.1607.2001.217","","","","","","688",""
"220","P.1607.2001.218","","","","","","689",""
"221","P.1607.2001.219","","","","","","690",""
"222","P.1607.2001.220","","","","","","691",""
"223","P.1607.2001.221","","","","","","692",""
"224","P.1607.2001.261","","","","","","693",""
"225","P.1607.2001.262","","","","","","694",""
"226","P.1607.2001.263","","","","","","695",""
"227","P.1607.2001.264","","","","","","696",""
"228","P.1607.2001.265","","","","","","697",""
"229","P.1607.2001.266","","","","","","698",""
"230","P.1607.2001.267","","","","","","699",""
"231","P.1607.2001.268","","","","","","700",""
"232","P.1607.2001.269","","","","","","701",""
"233","P.1607.2001.270","","","","","","702",""
"234","P.1607.2001.271","","","","","","703",""
"235","P.1607.2001.272","","","","","","704",""
"236","P.1607.2001.273","","","","","","705",""
"237","P.1607.2001.274","","","","","","706",""
"238","P.1607.2001.275","","","","","","707",""
"239","P.1607.2001.276","","","","","","708",""
"240","P.1607.2001.277","","","","","","709",""
"241","P.1607.2001.359","","","","","","710",""
"242","P.1607.2001.360","","","","","","711",""
"243","P.1607.2002.209","","","","","","712",""
"244","P.1607.2002.210","","","","","","713",""
"245","P.1607.2002.211","","","","","","714",""
"246","P.1607.2002.212","","","","","","715",""
"247","P.1607.2002.213","","","","","","716",""
"248","P.1607.2002.214","","","","","","717",""
"249","P.1607.2002.215","","","","","","718",""
"250","P.1607.2002.216","","","","","","719",""
"251","P.1607.2002.242","","","","","","720",""
"252","P.1607.2002.243","","","","","","721",""
"253","P.1607.2002.244","","","","","","722",""
"254","P.1607.2002.245","","","","","","723",""
"255","P.1607.2002.246","","","","","","724",""
"256","P.1607.2002.247","","","","","","725",""
"257","P.1607.2002.248","","","","","","726",""
"258","P.1607.2002.249","","","","","","727",""
"259","P.1607.2002.250","","","","","","728",""
"260","P.1607.2002.251","","","","","","729",""
"261","P.1607.2002.252","","","","","","730",""
"262","P.1607.2002.253","","","","","","731",""
"263","P.1607.2002.254","","","","","","732",""
"264","P.1607.2002.255","","","","","","733",""
"265","P.1607.2002.256","","","","","","734",""
"266","P.1607.2002.257","","","","","","735",""
"267","P.1607.2002.258","","","","","","736",""
"268","P.1607.2002.259","","","","","","737",""
"269","P.1607.2002.260","","","","","","738",""
"270","P.1607.2002.261","","","","","","739",""
"271","P.1607.2002.262","","","","","","740",""
"272","P.1607.2002.263","","","","","","741",""
"273","P.1607.2002.264","","","","","","742",""
"274","P.1607.2002.265","","","","","","743",""
"275","P.1607.2002.339","","","","","","744",""
"276","P.1607.2002.340","","","","","","745",""
"277","P.1607.2003.157","","","","","","746",""
"278","P.1607.2003.158","","","","","","747",""
"279","P.1607.2003.159","","","","","","748",""
"280","P.1607.2003.160","","","","","","749",""
"281","P.1607.2003.161","","","","","","750",""
"282","P.1607.2003.162","","","","","","751",""
"283","P.1607.2003.163","","","","","","752",""
"284","P.1607.2003.192","","","","","","753",""
"285","P.1607.2003.193","","","","","","754",""
"286","P.1607.2003.194","","","","","","755",""
"287","P.1607.2003.195","","","","","","756",""
"288","P.1607.2003.196","","","","","","757",""
"289","P.1607.2003.197","","","","","","758",""
"290","P.1607.2003.198","","","","","","759",""
"291","P.1607.2003.199","","","","","","760",""
"292","P.1607.2003.200","","","","","","761",""
"293","P.1607.2003.201","","","","","","762",""
"294","P.1607.2003.202","","","","","","763",""
"295","P.1607.2003.203","","","","","","764",""
"296","P.1607.2003.204","","","","","","765",""
"297","P.1607.2003.205","","","","","","766",""
"298","P.1607.2003.206","","","","","","767",""
"299","P.1607.2003.207","","","","","","768",""
"300","P.1607.2003.208","","","","","","769",""
"301","P.1607.2003.209","","","","","","770",""
"302","P.1607.2003.210","","","","","","771",""
"303","P.1607.2003.211","","","","","","772",""
"304","P.1607.2003.212","","","","","","773",""
"305","P.1607.2003.274","","","","","","774",""
"306","P.1607.2004.222","","","","","","775",""
"307","P.1607.2004.223","","","","","","776",""
"308","P.1607.2004.256","","","","","","777",""
"309","P.1607.2004.257","","","","","","778",""
"310","P.1607.2004.258","","","","","","779",""
"311","P.1607.2004.259","","","","","","780",""
"312","P.1607.2004.260","","","","","","781",""
"313","P.1607.2004.261","","","","","","782",""
"314","P.1607.2004.262","","","","","","783",""
"315","P.1607.2004.263","","","","","","784",""
"316","P.1607.2004.264","","","","","","785",""
"317","P.1607.2004.265","","","","","","786",""
"318","P.1607.2004.266","","","","","","787",""
"319","P.1607.2004.267","","","","","","788",""
"320","P.1607.2004.268","","","","","","789",""
"321","P.1607.2004.269","","","","","","790",""
"322","P.1607.2004.270","","","","","","791",""
"323","P.1607.2004.330","","","","","","792",""
"324","P.1607.2004.331","","","","","","793",""
"325","P.1607.2005.226","","","","","","794",""
"326","P.1607.2005.227","","","","","","795",""
"327","P.1607.2005.228","","","","","","796",""
"328","P.1607.2005.229","","","","","","797",""
"329","P.1607.2005.230","","","","","","798",""
"330","P.1607.2005.231","","","","","","799",""
"331","P.1607.2005.232","","","","","","800",""
"332","P.1607.2005.233","","","","","","801",""
"333","P.1607.2005.234","","","","","","802",""
"334","P.1607.2005.264","","","","","","803",""
"335","P.1607.2005.265","","","","","","804",""
"336","P.1607.2005.266","","","","","","805",""
"337","P.1607.2005.267","","","","","","806",""
"338","P.1607.2005.268","","","","","","807",""
"339","P.1607.2005.269","","","","","","808",""
"340","P.1607.2005.270","","","","","","809",""
"341","P.1607.2005.271","","","","","","810",""
"342","P.1607.2005.272","","","","","","811",""
"343","P.1607.2005.273","","","","","","812",""
"344","P.1607.2005.274","","","","","","813",""
"345","P.1607.2005.275","","","","","","814",""
"346","P.1607.2006.258","","","","","","815",""
"347","P.1607.2006.259","","","","","","816",""
"348","P.1607.2006.260","","","","","","817",""
"349","P.1607.2006.261","","","","","","818",""
"350","P.1607.2006.262","","","","","","819",""
"351","P.1607.2006.301","","","","","","820",""
"352","P.1607.2006.302","","","","","","821",""
"353","P.1607.2006.303","","","","","","822",""
"354","P.1607.2006.304","","","","","","823",""
"355","P.1607.2006.305","","","","","","824",""
"356","P.1607.2006.306","","","","","","825",""
"357","P.1607.2006.307","","","","","","826",""
"358","P.1607.2006.308","","","","","","827",""
"359","P.1607.2006.309","","","","","","828",""
"360","P.1607.2006.310","","","","","","829",""
"361","P.1607.2006.311","","","","","","830",""
"362","P.1607.2006.312","","","","","","831",""
"363","P.1607.2006.313","","","","","","832",""
"364","P.1607.2006.314","","","","","","833",""
"365","P.1607.2006.315","","","","","","834",""
"366","P.1607.2006.316","","","","","","835",""
"367","P.1607.2006.317","","","","","","836",""
"368","P.1607.2006.318","","","","","","837",""
"369","P.1607.2006.389","","","","","","838",""
"370","P.1607.2006.390","","","","","","839",""
"371","P.1607.2007.316","","","","","","840",""
"372","P.1607.2007.317","","","","","","841",""
"373","P.1607.2007.318","","","","","","842",""
"374","P.1607.2007.344","","","","","","843",""
"375","P.1607.2007.345","","","","","","844",""
"376","P.1607.2007.346","","","","","","845",""
"377","P.1607.2007.367","","","","","","846",""
"378","P.1607.2007.368","","","","","","847",""
"379","P.1607.2007.369","","","","","","848",""
"380","P.1607.2007.370","","","","","","849",""
"381","P.1607.2008.469","","","","","","850",""
"382","P.1607.2014.1987","","","","","","851",""
"383","P.1607.2014.1988","","","","","","852",""
"384","P.1607.1960.17","","","","","","853",""
"385","P.1607.1960.18","","","","","","854",""
"386","P.1607.1961.16","","","","","","855",""
"387","P.1607.1962.10","","","","","","856",""
"388","P.1607.1963.35","","","","","","857",""
"389","P.1607.1963.36","","","","","","858",""
"390","P.1607.1963.37","","","","","","859",""
"391","P.1607.1964.25","","","","","","860",""
"392","P.1607.1964.26","","","","","","861",""
"393","P.1607.1964.27","","","","","","862",""
"394","P.1607.1964.28","","","","","","863",""
"395","P.1607.1964.29","","","","","","864",""
"396","P.1607.1964.30","","","","","","865",""
"397","P.1607.1964.31","","","","","","866",""
"398","P.1607.1964.32","","","","","","867",""
"399","P.1607.1964.33","","","","","","868",""
"400","P.1607.1964.34","","","","","","869",""
"401","P.1607.1965.37","","","","","","870",""
"402","P.1607.1965.38","","","","","","871",""
"403","P.1607.1965.39","","","","","","872",""
"404","P.1607.1966.46","","","","","","873",""
"405","P.1607.1966.47","","","","","","874",""
"406","P.1607.1966.48","","","","","","875",""
"407","P.1607.1966.49","","","","","","876",""
"408","P.1607.1967.25","","","","","","877",""
"409","P.1607.1969.22","","","","","","878",""
"410","P.1607.1970.25","","","","","","879",""
"411","P.1607.1970.26","","","","","","880",""
"412","P.1607.1970.27","","","","","","881",""
"413","P.1607.1970.28","","","","","","882",""
"414","P.1607.1970.29","","","","","","883",""
"415","P.1607.1971.44","","","","","","884",""
"416","P.1607.1971.45","","","","","","885",""
"417","P.1607.1971.46","","","","","","886",""
